parcel_id,county,just_value,building_value,land_value,year_built,land_sqft,sale_date,target,property_age,land_building_ratio,building_value_pct,land_value_pct,value_per_sqft,value_category,age_category,is_top_county
27 3719-76-L-31,BREVARD,221680.0,151680.0,70000.0,1962,,2025-04-01,1,63,0.46149484773966415,0.6842264334787375,0.31576905553475487,45.272963798175205,medium-low,very_old,1
27 3724-50-*-2,BREVARD,485910.0,300910.0,185000.0,1978,,2025-04-01,1,47,0.6147997248355827,0.6192697839727851,0.3807281580371714,45.272963798175205,medium,very_old,1
27 3725-09-*-4,BREVARD,930630.0,730630.0,200000.0,1989,,2025-04-01,1,36,0.2737359898498695,0.7850909759077443,0.21490794955250792,45.272963798175205,high,old,1
27 3736-07-E-15,BREVARD,594360.0,249860.0,344500.0,1966,,2025-04-01,1,59,1.3787665942263898,0.42038424459209134,0.579614072928742,45.272963798175205,high,very_old,1
27 3736-EO-50-28,BREVARD,601710.0,321710.0,280000.0,1974,,2025-04-01,1,51,0.8703463667701757,0.5346586650401937,0.4653396730324026,45.272963798175205,high,very_old,1
28 3611-01-KK-16,BREVARD,258400.0,138400.0,120000.0,1979,37026.0,2025-04-01,1,46,0.8670457583398964,0.5356016424085046,0.46439448763743174,6.978691225322062,medium,very_old,1
28 3613-26-B-1,BREVARD,557010.0,452510.0,104500.0,1991,,2025-04-01,1,34,0.23093361266355955,0.8123897014601148,0.18760850324320347,45.272963798175205,high,old,1
28 3622-KO-2244-21,BREVARD,267960.0,225460.0,42500.0,1993,,2025-04-01,1,32,0.18850266786716993,0.8413910979582849,0.15860517015535844,45.272963798175205,medium,old,1
28 3627-KO-2317-10,BREVARD,236870.0,194370.0,42500.0,1993,14375.0,2025-04-01,1,32,0.21865401731739817,0.8205732234000785,0.17942255489274753,16.476766833611574,medium-low,old,1
28 3628-KO-2305-11,BREVARD,221430.0,178930.0,42500.0,1991,10454.0,2025-04-01,1,34,0.23752172625201892,0.8080621051252986,0.1919333787952003,21.179340028694405,medium-low,old,1
28 3632-02-I-2,BREVARD,304920.0,244920.0,60000.0,2023,6098.0,2025-04-01,1,2,0.24497695175178935,0.8032244417406476,0.19677227872137373,49.99508116084604,medium,new,1
